evidence_block,grain,item,item_2,rank_label,rank_value,revenue,gross_margin_proxy,gross_margin_rate,payment_amount,payment_coverage,customers,orders,order_lines,products,quantity,extra_metric_1,extra_value_1,extra_metric_2,extra_value_2,notes
sales_rep_performance_baseline,sales_rep,Gerard Hernandez,Paris,revenue_rank,1.0,1258577.81,504644.71,0.401,1112003.81,0.8835,7,43,396,109,14231.0,top_customer_revenue_share,0.6521,margin_rate_rank,5.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Leslie Jennings,San Francisco,revenue_rank,2.0,1081530.54,435208.35,0.4024,989906.55,0.9153,6,34,331,107,11854.0,top_customer_revenue_share,0.5472,margin_rate_rank,4.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Foon Yue Tseng,NYC,revenue_rank,11.0,488212.67,194839.92,0.3991,488212.67,1.0,6,17,142,74,5016.0,top_customer_revenue_share,0.3644,margin_rate_rank,6.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Mami Nishi,Tokyo,revenue_rank,12.0,457110.07,181181.8,0.3964,457110.07,1.0,5,16,137,81,4923.0,top_customer_revenue_share,0.3418,margin_rate_rank,9.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Andy Fixter,Sydney,revenue_rank,9.0,562582.59,222207.18,0.395,509385.82,0.9054,5,19,185,82,6246.0,top_customer_revenue_share,0.321,margin_rate_rank,10.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Martin Gerard,Paris,revenue_rank,13.0,387477.47,156878.63,0.4049,387477.47,1.0,5,12,114,78,4180.0,top_customer_revenue_share,0.2902,margin_rate_rank,2.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Leslie Thompson,San Francisco,revenue_rank,15.0,347533.03,138031.47,0.3972,347533.03,1.0,6,14,114,73,4056.0,top_customer_revenue_share,0.2699,margin_rate_rank,7.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Peter Marsh,Sydney,revenue_rank,7.0,584593.76,230811.75,0.3948,497907.16,0.8517,5,19,185,97,6632.0,top_customer_revenue_share,0.2645,margin_rate_rank,11.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Julie Firrelli,Boston,revenue_rank,14.0,386663.2,152119.31,0.3934,386663.2,1.0,6,14,124,80,4227.0,top_customer_revenue_share,0.2635,margin_rate_rank,12.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Steve Patterson,Boston,revenue_rank,10.0,505875.42,197879.23,0.3912,449219.13,0.888,6,18,152,95,5561.0,top_customer_revenue_share,0.2302,margin_rate_rank,15.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Loui Bondur,Paris,revenue_rank,8.0,569485.75,234891.07,0.4125,569485.75,1.0,6,20,177,101,6186.0,top_customer_revenue_share,0.2288,margin_rate_rank,1.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,George Vanauf,NYC,revenue_rank,6.0,669377.05,269596.09,0.4028,584406.8,0.8731,8,22,211,96,7423.0,top_customer_revenue_share,0.2227,margin_rate_rank,3.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Larry Bott,London,revenue_rank,4.0,732096.79,290203.59,0.3964,686653.25,0.9379,8,22,236,97,8205.0,top_customer_revenue_share,0.2027,margin_rate_rank,8.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Barry Jones,London,revenue_rank,5.0,704853.91,276659.25,0.3925,637672.65,0.9047,9,25,220,98,7486.0,top_customer_revenue_share,0.1716,margin_rate_rank,13.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
sales_rep_performance_baseline,sales_rep,Pamela Castillo,Paris,revenue_rank,3.0,868220.55,340727.9,0.3924,750201.87,0.8641,10,31,272,100,9290.0,top_customer_revenue_share,0.1583,margin_rate_rank,14.0,"Use this block to compare sales rep scale, margin proxy, payment coverage, and concentration."
rep_customer_concentration,sales_rep_top_customer,Gerard Hernandez,Euro+ Shopping Channel,top_customer_share_rank,1.0,820689.54,326519.66,0.3979,1112003.81,0.8835,7,43,396,109,14231.0,top_customer_revenue_share,0.6521,rep_total_revenue,1258577.81,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Leslie Jennings,Mini Gifts Distributors Ltd.,top_customer_share_rank,2.0,591827.34,236769.39,0.4001,989906.55,0.9153,6,34,331,107,11854.0,top_customer_revenue_share,0.5472,rep_total_revenue,1081530.54,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Foon Yue Tseng,Muscle Machine Inc,top_customer_share_rank,3.0,177913.95,72370.09,0.4068,488212.67,1.0,6,17,142,74,5016.0,top_customer_revenue_share,0.3644,rep_total_revenue,488212.67,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Mami Nishi,"Dragon Souveniers, Ltd.",top_customer_share_rank,4.0,156251.03,60477.38,0.3871,457110.07,1.0,5,16,137,81,4923.0,top_customer_revenue_share,0.3418,rep_total_revenue,457110.07,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Andy Fixter,"Australian Collectors, Co.",top_customer_share_rank,5.0,180585.07,70311.07,0.3894,509385.82,0.9054,5,19,185,82,6246.0,top_customer_revenue_share,0.321,rep_total_revenue,562582.59,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Martin Gerard,"Corrida Auto Replicas, Ltd",top_customer_share_rank,6.0,112440.09,49192.39,0.4375,387477.47,1.0,5,12,114,78,4180.0,top_customer_revenue_share,0.2902,rep_total_revenue,387477.47,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Leslie Thompson,Toys4GrownUps.com,top_customer_share_rank,7.0,93803.3,40397.88,0.4307,347533.03,1.0,6,14,114,73,4056.0,top_customer_revenue_share,0.2699,rep_total_revenue,347533.03,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Peter Marsh,"Down Under Souveniers, Inc",top_customer_share_rank,8.0,154622.08,60013.99,0.3881,497907.16,0.8517,5,19,185,97,6632.0,top_customer_revenue_share,0.2645,rep_total_revenue,584593.76,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Julie Firrelli,Mini Creations Ltd.,top_customer_share_rank,9.0,101872.52,39136.14,0.3842,386663.2,1.0,6,14,124,80,4227.0,top_customer_revenue_share,0.2635,rep_total_revenue,386663.2,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Steve Patterson,Online Diecast Creations Co.,top_customer_share_rank,10.0,116449.29,45090.39,0.3872,449219.13,0.888,6,18,152,95,5561.0,top_customer_revenue_share,0.2302,rep_total_revenue,505875.42,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Loui Bondur,"Saveley & Henriot, Co.",top_customer_share_rank,11.0,130305.35,53211.19,0.4084,569485.75,1.0,6,20,177,101,6186.0,top_customer_revenue_share,0.2288,rep_total_revenue,569485.75,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,George Vanauf,Land of Toys Inc.,top_customer_share_rank,12.0,149085.15,58669.1,0.3935,584406.8,0.8731,8,22,211,96,7423.0,top_customer_revenue_share,0.2227,rep_total_revenue,669377.05,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Larry Bott,"AV Stores, Co.",top_customer_share_rank,13.0,148410.09,60095.86,0.4049,686653.25,0.9379,8,22,236,97,8205.0,top_customer_revenue_share,0.2027,rep_total_revenue,732096.79,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Barry Jones,Scandinavian Gift Ideas,top_customer_share_rank,14.0,120943.53,46777.54,0.3868,637672.65,0.9047,9,25,220,98,7486.0,top_customer_revenue_share,0.1716,rep_total_revenue,704853.91,High-performing reps should be checked for dependence on one large customer.
rep_customer_concentration,sales_rep_top_customer,Pamela Castillo,Salzburg Collectables,top_customer_share_rank,15.0,137480.07,54724.68,0.3981,750201.87,0.8641,10,31,272,100,9290.0,top_customer_revenue_share,0.1583,rep_total_revenue,868220.55,High-performing reps should be checked for dependence on one large customer.
office_territory_performance,office_territory,NYC,No territory,office_revenue_rank,4.0,1157589.72,464436.01,0.4012,,,14,39,353,105,12439.0,reps,2.0,office_margin_rate_rank,1.0,Office and territory view avoids over-interpreting individual rep performance.
office_territory_performance,office_territory,Paris,EMEA,office_revenue_rank,1.0,3083761.58,1237142.31,0.4012,,,28,106,959,109,33887.0,reps,4.0,office_margin_rate_rank,2.0,Office and territory view avoids over-interpreting individual rep performance.
office_territory_performance,office_territory,San Francisco,No territory,office_revenue_rank,3.0,1429063.57,573239.82,0.4011,,,12,48,445,109,15910.0,reps,2.0,office_margin_rate_rank,3.0,Office and territory view avoids over-interpreting individual rep performance.
office_territory_performance,office_territory,Tokyo,Japan,office_revenue_rank,7.0,457110.07,181181.8,0.3964,,,5,16,137,81,4923.0,reps,1.0,office_margin_rate_rank,4.0,Office and territory view avoids over-interpreting individual rep performance.
office_territory_performance,office_territory,Sydney,APAC,office_revenue_rank,5.0,1147176.35,453018.93,0.3949,,,10,38,370,109,12878.0,reps,2.0,office_margin_rate_rank,5.0,Office and territory view avoids over-interpreting individual rep performance.
office_territory_performance,office_territory,London,EMEA,office_revenue_rank,2.0,1436950.7,566862.84,0.3945,,,17,47,456,109,15691.0,reps,2.0,office_margin_rate_rank,6.0,Office and territory view avoids over-interpreting individual rep performance.
office_territory_performance,office_territory,Boston,No territory,office_revenue_rank,6.0,892538.62,349998.54,0.3921,,,12,32,276,106,9788.0,reps,2.0,office_margin_rate_rank,7.0,Office and territory view avoids over-interpreting individual rep performance.
rep_product_line_mix,sales_rep_product_line,Loui Bondur,Classic Cars,line_mix_rank_within_rep,1.0,256693.74,106456.35,0.4147,,,6,14,66,35,2272.0,rep_revenue_share,0.4507,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Loui Bondur,Motorcycles,line_mix_rank_within_rep,2.0,97060.62,42666.78,0.4396,,,5,10,34,12,1252.0,rep_revenue_share,0.1704,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Loui Bondur,Vintage Cars,line_mix_rank_within_rep,3.0,84405.54,36326.23,0.4304,,,5,7,31,19,1034.0,rep_revenue_share,0.1482,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Steve Patterson,Classic Cars,line_mix_rank_within_rep,1.0,185967.24,70220.16,0.3776,,,5,9,51,30,1774.0,rep_revenue_share,0.3676,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
rep_product_line_mix,sales_rep_product_line,Steve Patterson,Motorcycles,line_mix_rank_within_rep,2.0,96610.24,39525.05,0.4091,,,4,4,28,13,1063.0,rep_revenue_share,0.191,not_applicable,,Product-line mix helps explain why similar revenue reps can have different business quality.
