evidence_block,grain,item,item_2,item_3,rank_label,rank_value,customer_count,address_count,active_address_count,inactive_address_count,order_count,line_count,total_order_value,avg_order_value,shipping_cost,country_count,share_pct,secondary_value,notes
active_address_coverage,active_address_bucket,multiple_active_addresses,,,active_bucket_value_rank,1.0,838,2043,1788,255,4620,4620,46488.98,9.6021,12.2421,2.3067,61.6154,1.7458,Active address coverage compared with ordering footprint.
active_address_coverage,active_address_bucket,one_active_address,,,active_bucket_value_rank,2.0,1162,1307,1162,145,2930,2930,28961.24,7.6715,10.0268,1.1188,38.3846,0.827,Active address coverage compared with ordering footprint.
customer_address_baseline,address_bucket,multi_address,,,address_bucket_value_rank,1.0,925,2097,1768,329,4703,4703,47079.46,9.5396,12.1045,2.1622,62.398,1.6238,Customer address complexity checked against order value.
customer_address_baseline,address_bucket,single_address,,,address_bucket_value_rank,2.0,1017,1017,1017,0,2286,2286,22538.85,7.4002,9.7985,1.0,29.8725,0.7443,Customer address complexity checked against order value.
customer_address_baseline,address_bucket,high_address_count,,,address_bucket_value_rank,3.0,58,236,165,71,561,561,5831.91,10.53,12.9019,3.7241,7.7295,2.8448,Customer address complexity checked against order value.
destination_country_customer_mix,destination_country,China,,,country_value_rank,1.0,378,,,,1176,1176,11802.7,10.0363,12.7913,,15.643,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Indonesia,,,country_value_rank,2.0,298,,,,995,995,9800.16,9.8494,13.0083,,12.9889,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Russia,,,country_value_rank,3.0,157,,,,510,510,4820.89,9.4527,12.5494,,6.3895,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Philippines,,,country_value_rank,4.0,100,,,,334,334,3405.17,10.1951,13.2904,,4.5131,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Brazil,,,country_value_rank,5.0,100,,,,333,333,3381.84,10.1557,11.9955,,4.4822,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Poland,,,country_value_rank,6.0,92,,,,324,324,3300.02,10.1852,12.1926,,4.3738,,"Destination country concentration by customers, orders, and value."
destination_country_customer_mix,destination_country,Peru,,,country_value_rank,7.0,70,,,,252,252,2588.15,10.2704,12.6476,,3.4303,,"Destination country concentration by customers, orders, and value."
