evidence_block,grain,item,item_2,item_3,rank_label,rank_value,customer_count,order_count,line_count,book_count,total_price,avg_order_value,avg_unit_price,delivered_orders,cancelled_orders,returned_orders,share_pct,secondary_value,notes
customer_cohort_month_profile,first_order_month,2020-01,repeat_customer,,cohort_value_rank,1.0,125,753,753,753,7534.19,10.0099,,,,,9.9856,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2019-12,repeat_customer,,cohort_value_rank,2.0,101,603,603,603,6033.04,9.9211,,,,,7.9961,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-02,repeat_customer,,cohort_value_rank,3.0,81,492,492,492,4994.31,10.0802,,,,,6.6193,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-01,heavy_repeat_customer,,cohort_value_rank,4.0,38,485,485,485,4978.97,10.1954,,,,,6.599,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-03,repeat_customer,,cohort_value_rank,5.0,93,503,503,503,4867.26,9.681,,,,,6.451,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2019-12,heavy_repeat_customer,,cohort_value_rank,6.0,32,409,409,409,4293.39,10.5402,,,,,5.6904,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-05,repeat_customer,,cohort_value_rank,7.0,83,436,436,436,4286.6,9.8612,,,,,5.6814,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-04,repeat_customer,,cohort_value_rank,8.0,75,411,411,411,3917.82,9.325,,,,,5.1926,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-06,repeat_customer,,cohort_value_rank,9.0,54,311,311,311,3083.57,9.8744,,,,,4.0869,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-02,heavy_repeat_customer,,cohort_value_rank,10.0,19,233,233,233,2446.44,10.5066,,,,,3.2425,,First observed order month profile for customer demand.
customer_cohort_month_profile,first_order_month,2020-08,repeat_customer,,cohort_value_rank,11.0,46,233,233,233,2343.67,10.2847,,,,,3.1062,,First observed order month profile for customer demand.
